,x,y,bedrock_altitude (m)
510,-1564999.8,-248999.72,-932.877804643612
511,-1564499.8,-248999.72,-885.9000427788502
512,-1563999.8,-248999.72,-801.9333722905786
513,-1563499.8,-248999.72,-694.1266493436418
514,-1562999.8,-248999.72,-582.9299792905641
515,-1562499.8,-248999.72,-520.5127699592127
516,-1561999.8,-248999.72,-453.26666099262417
517,-1561499.8,-248999.72,-298.9545623913683
518,-1560999.8,-248999.72,-470.6097704663359
519,-1560499.8,-248999.72,-549.2445490278496
520,-1559999.8,-248999.72,-204.4435488567308
521,-1559499.8,-248999.72,-375.4993066594432
522,-1558999.8,-248999.72,-377.82904240603153
523,-1558499.8,-248999.72,-316.6378146767165
524,-1557999.8,-248999.72,-173.2849666370105
525,-1557499.8,-248999.72,-74.81211606285191
526,-1556999.8,-248999.72,-159.57734018738694
527,-1556499.8,-248999.72,-304.43623693945756
528,-1555999.8,-248999.72,-363.1384384330876
529,-1555499.8,-248999.72,-554.6028709905659
530,-1554999.8,-248999.72,-622.6821474845151
531,-1554499.8,-248999.72,-647.3312351983739
532,-1553999.8,-248999.72,-595.8991530457647
533,-1553499.8,-248999.72,-676.7214364879378
534,-1552999.8,-248999.72,-834.3049457011608
535,-1552499.8,-248999.72,-938.695140457693
536,-1551999.8,-248999.72,-873.7232511178667
537,-1551499.8,-248999.72,-1034.6907963040173
538,-1550999.8,-248999.72,-1129.843231114973
539,-1550499.8,-248999.72,-977.2859309677277
540,-1549999.8,-248999.72,-995.841856822523
541,-1549499.8,-248999.72,-981.7557703469437
542,-1548999.8,-248999.72,-870.6209171559735
543,-1548499.8,-248999.72,-828.2604734529166
544,-1547999.8,-248999.72,-843.4401221658397
545,-1547499.8,-248999.72,-936.5916559858788
546,-1546999.8,-248999.72,-945.5999629242382
547,-1546499.8,-248999.72,-940.7061326004928
548,-1545999.8,-248999.72,-931.4292661116392
549,-1545499.8,-248999.72,-920.5473802748988
550,-1544999.8,-248999.72,-916.374924878205
551,-1544499.8,-248999.72,-927.0762885243524
552,-1543999.8,-248999.72,-940.3496118855694
553,-1543499.8,-248999.72,-959.6867427902018
554,-1542999.8,-248999.72,-979.068678147494
555,-1542499.8,-248999.72,-994.5092262240015
556,-1541999.8,-248999.72,-995.4309690060702
557,-1541499.8,-248999.72,-1008.9797537891174
558,-1540999.8,-248999.72,-1015.9069213146191
559,-1540499.8,-248999.72,-1031.2327761764902
560,-1539999.8,-248999.72,-1038.5009894865805
561,-1539499.8,-248999.72,-1042.7982133417765
562,-1538999.8,-248999.72,-1047.3448563599557
563,-1538499.8,-248999.72,-1049.3941730539625
564,-1537999.8,-248999.72,-1044.8876970841438
565,-1537499.8,-248999.72,-1055.2196137374594
566,-1536999.8,-248999.72,-1056.0009662892837
567,-1536499.8,-248999.72,-1058.9504357670514
568,-1535999.8,-248999.72,-1067.346929815835
569,-1535499.8,-248999.72,-1091.2174150199007
570,-1534999.8,-248999.72,-838.907609990692
571,-1534499.8,-248999.72,-909.9658526351576
572,-1533999.8,-248999.72,-816.7625131253053
573,-1533499.8,-248999.72,-704.7229412342969
