X,Y,Sum,Count,Bed,simulated,cluster,Norm_Bed
-221000.0,-1799000.0,5085.98,11.0,462.36182,0.0,12.0,1.2465379238128662
-220000.0,-1799000.0,0.0,0.0,,1.0,12.0,1.2213978123224567
-219000.0,-1799000.0,0.0,0.0,,1.0,3.0,1.0450636109134885
-218000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.10855278942186913
-217000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.23358263220544323
-216000.0,-1799000.0,66854.29,197.0,339.36188,0.0,12.0,0.1774105280637741
-215000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.20770800147480448
-214000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.4520067841863959
-213000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.22765451616234517
-212000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.23413385816307408
-211000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.11876742655952188
-210000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.19898869548916245
-209000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.0556014825512281
-208000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.16562889020897575
-207000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.2399890690824954
-206000.0,-1799000.0,28028.13,68.0,412.17838,0.0,12.0,0.7059083580970764
-205000.0,-1799000.0,0.0,0.0,,1.0,3.0,0.03649914527947773
-204000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.19349600879910847
-203000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.054435309624174644
-202000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.7103149328309633
-201000.0,-1799000.0,0.0,0.0,,1.0,12.0,1.5152228835142139
-200000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.8685876984070214
-199000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.3267193297708701
-198000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.036318226214251514
-197000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.3598279802116954
-196000.0,-1799000.0,68195.97,160.0,426.22482,0.0,12.0,0.8482666611671448
-195000.0,-1799000.0,26645.12,69.0,386.16116,0.0,12.0,0.4908117651939392
-194000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.11888438440980348
-193000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.5796299049170317
-192000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.19620146676488834
-191000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.351789420670526
-190000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.40295950950155024
-189000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.9074400275898076
-188000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.10047381398641736
-187000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.1380780327869313
-186000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.7723606587608087
-185000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.1717195252797879
-184000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.3587051582640666
-183000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.10357511486611787
-182000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.18842176570019384
-181000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.27725392075593025
-180000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.9366880405668204
-179000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.24006264290982438
-178000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.5645591777449153
-177000.0,-1799000.0,0.0,0.0,,1.0,12.0,-0.29205229711437564
-176000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.3011882349250905
-175000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.3967306027769257
-174000.0,-1799000.0,0.0,0.0,,1.0,12.0,0.4597672116216393
